('499.04', '0.000000')
('299.61', '1.000000')
('484.16', '0.500000')
('463.57', '0.833333')
('314.19', '0.583333')
('458.33', '0.783333')
('484.23', '0.616667')
('470.19', '0.759524')
('125.97', '0.634524')
('287.91', '0.745635')
('45.68', '0.645635')
('53.16', '0.736544')
('437.94', '0.653211')
('217.24', '0.730134')
('73.05', '0.658705')
('448.69', '0.725372')
('4.56', '0.662872')
('130.24', '0.721695')
('216.63', '0.666140')
('201.99', '0.718771')
('361.25', '0.668771')
('273.43', '0.716390')
('251.42', '0.670936')
('185.28', '0.714414')
('445.28', '0.672747')
('140.93', '0.712747')
('458.80', '0.674286')
('221.74', '0.711323')
('493.31', '0.675609')
('1.62', '0.710091')
('14.81', '0.676758')
('77.88', '0.709016')
('367.26', '0.677766')
('374.82', '0.708069')
('165.95', '0.678657')
('429.76', '0.707229')
('312.47', '0.679451')
('167.49', '0.706478')
('116.22', '0.680162')
('9.32', '0.705803')
('498.73', '0.680803')
('78.22', '0.705194')
('74.55', '0.681384')
('380.46', '0.704640')
('192.78', '0.681913')
('58.15', '0.704135')
('398.18', '0.682396')
('233.95', '0.703672')
('340.09', '0.682839')
('249.41', '0.703247')
('303.34', '0.683247')
('31.91', '0.702855')
('135.20', '0.683624')
('153.18', '0.702492')
('95.09', '0.683974')
('216.07', '0.702155')
('263.31', '0.684298')
('332.44', '0.701842')
('222.11', '0.684601')
('118.72', '0.701550')
('290.95', '0.684883')
('113.33', '0.701277')
('21.05', '0.685148')
('38.21', '0.701021')
('282.07', '0.685396')
('492.97', '0.700780')
('114.78', '0.685629')
('82.56', '0.700554')
('220.17', '0.685848')
('490.85', '0.700341')
('146.31', '0.686055')
('111.55', '0.700140')
('472.58', '0.686251')
('336.76', '0.699950')
('11.70', '0.686436')
('258.66', '0.699769')
('100.38', '0.686612')
('32.47', '0.699599')
('288.02', '0.686778')
('329.97', '0.699436')
('341.42', '0.686936')
('182.87', '0.699282')
('132.91', '0.687087')
('292.55', '0.699135')
('341.95', '0.687230')
('372.14', '0.698995')
('198.85', '0.687367')
('85.31', '0.698861')
('289.40', '0.687498')
('154.81', '0.698734')
('220.91', '0.687622')
('339.66', '0.698611')
('326.78', '0.687742')
('255.99', '0.698495')
('307.31', '0.687856')
('108.12', '0.698383')
('113.00', '0.687966')
('83.14', '0.698275')
('365.87', '0.688071')
('483.21', '0.698172')
